Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
498,"(4, 2015, 86.1, 398.5)","(58, 2012, 146.4, 292.7)","(25, 2014, 122.9, 285.1)","(0, 2014, 105.9, 294.3)","(0, 2012, 121.5, 302.1)","(8, 2015, 70.6, 290.1)","(4, -1, 88.4, 459.6)","(58, -1, 153.4, 324.4)","(25, -1, 114.1, 315.2)","(0, -1, 108.0, 286.6)","(0, -1, 111.4, 323.4)","(8, -1, 65.5, 280.3)"
499,"(102, 2017, 140.6, 343.1)","(58, 2012, 156.9, 343.3)","(58, 2014, 95.5, 224.8)","(102, 2013, 114.0, 234.0)","(102, 2014, 95.0, 307.1)","(0, 2012, 86.4, 333.8)","(102, -1, 148.0, 342.5)","(58, -1, 157.1, 337.3)","(58, -1, 99.7, 215.9)","(102, -1, 119.4, 223.3)","(102, -1, 89.9, 343.2)","(0, -1, 100.7, 332.3)"
500,"(25, 2014, 114.4, 271.9)","(4, 2015, 129.1, 378.5)","(25, 2017, 142.2, 219.0)","(40, 2015, 147.0, 331.2)","(0, 2014, 70.2, 233.2)","(58, 2017, 91.4, 365.6)","(25, -1, 111.0, 264.1)","(4, -1, 122.8, 374.3)","(25, -1, 160.3, 206.7)","(40, -1, 164.4, 319.6)","(0, -1, 68.8, 212.7)","(58, -1, 95.8, 373.2)"
501,"(25, 2013, 97.7, 307.4)","(25, 2012, 100.7, 305.7)","(4, 2012, 44.1, 321.4)","(102, 2013, 99.7, 341.1)","(0, 2012, 144.5, 390.7)","(4, 2016, 55.8, 349.6)","(25, -1, 74.5, 345.4)","(25, -1, 103.6, 295.7)","(4, -1, 46.8, 336.3)","(102, -1, 83.5, 354.1)","(0, -1, 163.5, 396.8)","(4, -1, 59.3, 349.4)"
502,"(8, 2017, 95.9, 259.7)","(104, 2017, 92.6, 289.3)","(102, 2017, 110.0, 272.0)","(104, 2012, 93.0, 325.2)","(0, 2013, 80.9, 278.4)","(0, 2016, 114.7, 208.2)","(8, -1, 91.9, 287.3)","(104, -1, 88.1, 319.6)","(102, -1, 116.7, 248.3)","(104, -1, 101.8, 320.5)","(0, -1, 75.7, 294.8)","(0, -1, 131.9, 206.2)"
503,"(0, 2013, 99.3, 384.7)","(8, 2012, 131.2, 281.2)","(58, 2012, 114.9, 388.9)","(104, 2016, 120.1, 344.5)","(19, 2015, 130.6, 383.7)","(102, 2013, 58.4, 364.7)","(0, -1, 77.6, 405.7)","(8, -1, 119.1, 280.4)","(58, -1, 95.4, 414.6)","(104, -1, 138.8, 428.9)","(19, -1, 145.1, 379.2)","(102, -1, 60.8, 399.8)"
504,"(19, 2014, 118.6, 329.4)","(19, 2017, 104.4, 213.6)","(40, 2013, 74.3, 367.8)","(40, 2016, 92.4, 338.6)","(25, 2013, 79.1, 391.6)","(104, 2015, 86.3, 228.4)","(19, -1, 122.8, 324.4)","(19, -1, 104.7, 214.1)","(40, -1, 82.8, 401.1)","(40, -1, 107.5, 351.3)","(25, -1, 79.9, 389.4)","(104, -1, 96.6, 218.8)"
505,"(8, 2013, 94.3, 217.6)","(104, 2013, 90.2, 303.8)","(40, 2013, 143.8, 272.0)","(102, 2014, 88.6, 392.1)","(40, 2017, 94.9, 340.8)","(25, 2015, 80.1, 289.2)","(8, -1, 87.7, 177.1)","(104, -1, 86.5, 321.0)","(40, -1, 160.2, 308.3)","(102, -1, 96.1, 441.6)","(40, -1, 87.0, 312.4)","(25, -1, 89.8, 295.9)"
506,"(25, 2016, 118.9, 238.4)","(102, 2017, 113.7, 288.6)","(104, 2015, 84.9, 293.3)","(104, 2013, 73.1, 201.8)","(40, 2016, 94.2, 251.4)","(58, 2015, 81.7, 249.1)","(25, -1, 116.7, 228.9)","(102, -1, 119.8, 319.8)","(104, -1, 85.0, 295.4)","(104, -1, 61.2, 184.4)","(40, -1, 90.6, 284.4)","(58, -1, 74.7, 270.9)"
507,"(58, 2015, 115.1, 276.2)","(19, 2014, 52.3, 284.8)","(58, 2014, 88.4, 253.5)","(0, 2015, 145.3, 222.5)","(40, 2017, 114.3, 227.7)","(58, 2016, 71.7, 337.6)","(58, -1, 100.3, 263.8)","(19, -1, 42.9, 264.2)","(58, -1, 98.1, 217.7)","(0, -1, 135.2, 228.7)","(40, -1, 111.9, 239.8)","(58, -1, 71.7, 359.5)"
508,"(40, 2013, 94.7, 391.2)","(25, 2013, 122.9, 269.0)","(19, 2014, 125.7, 228.6)","(0, 2013, 76.7, 252.0)","(40, 2016, 124.2, 230.4)","(4, 2012, 88.8, 238.9)","(40, -1, 85.0, 392.9)","(25, -1, 104.8, 261.6)","(19, -1, 145.1, 229.9)","(0, -1, 80.8, 241.6)","(40, -1, 133.3, 228.7)","(4, -1, 92.8, 261.8)"
509,"(40, 2014, 67.1, 332.4)","(4, 2013, 124.2, 277.0)","(4, 2015, 96.7, 250.1)","(104, 2012, 96.5, 316.2)","(102, 2016, 93.1, 379.6)","(19, 2016, 104.8, 204.9)","(40, -1, 68.2, 334.9)","(4, -1, 144.1, 271.3)","(4, -1, 87.2, 264.1)","(104, -1, 80.4, 315.4)","(102, -1, 104.1, 308.1)","(19, -1, 123.5, 193.4)"
510,"(40, 2017, 107.0, 319.3)","(8, 2014, 72.9, 334.4)","(58, 2012, 84.6, 286.6)","(19, 2017, 77.3, 384.1)","(104, 2017, 140.6, 234.0)","(25, 2017, 79.4, 202.3)","(40, -1, 107.3, 359.7)","(8, -1, 73.8, 295.2)","(58, -1, 97.6, 293.3)","(19, -1, 78.4, 454.3)","(104, -1, 122.1, 250.6)","(25, -1, 83.9, 229.1)"
511,"(104, 2013, 116.4, 368.1)","(0, 2014, 133.3, 279.2)","(104, 2012, 81.5, 366.0)","(25, 2016, 100.9, 399.1)","(0, 2015, 76.0, 223.0)","(40, 2016, 97.3, 366.5)","(104, -1, 106.4, 319.5)","(0, -1, 147.2, 259.4)","(104, -1, 73.5, 356.5)","(25, -1, 115.0, 422.1)","(0, -1, 66.2, 211.7)","(40, -1, 116.4, 362.2)"
512,"(40, 2015, 86.9, 352.1)","(8, 2014, 121.0, 355.3)","(25, 2017, 84.5, 287.9)","(104, 2012, 96.6, 321.8)","(104, 2014, 146.4, 249.5)","(25, 2014, 75.0, 206.3)","(40, -1, 84.7, 331.9)","(8, -1, 131.6, 374.1)","(25, -1, 86.1, 297.7)","(104, -1, 101.2, 325.7)","(104, -1, 154.0, 242.2)","(25, -1, 82.9, 235.6)"
513,"(4, 2013, 133.0, 345.6)","(104, 2016, 99.7, 227.8)","(104, 2016, 113.9, 259.9)","(104, 2015, 96.8, 210.7)","(19, 2017, 112.2, 313.2)","(19, 2012, 113.9, 371.4)","(4, -1, 134.7, 348.5)","(104, -1, 103.2, 198.3)","(104, -1, 108.4, 309.2)","(104, -1, 97.3, 214.0)","(19, -1, 121.5, 269.5)","(19, -1, 122.3, 393.0)"
514,"(8, 2014, 88.6, 214.6)","(40, 2015, 84.8, 278.4)","(102, 2013, 73.3, 366.5)","(40, 2013, 87.4, 354.9)","(104, 2013, 87.9, 242.7)","(102, 2016, 97.7, 250.2)","(8, -1, 100.3, 240.6)","(40, -1, 87.5, 306.4)","(102, -1, 67.1, 387.4)","(40, -1, 88.3, 350.3)","(104, -1, 88.3, 242.1)","(102, -1, 105.7, 249.3)"
515,"(0, 2013, 75.9, 326.3)","(8, 2017, 99.9, 247.8)","(102, 2012, 98.1, 268.6)","(19, 2014, 102.3, 356.2)","(40, 2013, 130.7, 323.3)","(4, 2014, 99.6, 221.3)","(0, -1, 73.8, 336.6)","(8, -1, 88.9, 219.2)","(102, -1, 87.7, 261.0)","(19, -1, 102.5, 383.6)","(40, -1, 118.5, 342.3)","(4, -1, 92.3, 236.1)"
516,"(40, 2015, 88.2, 277.0)","(4, 2016, 105.5, 239.6)","(4, 2017, 136.2, 309.1)","(8, 2013, 110.8, 389.8)","(25, 2012, 126.7, 299.8)","(19, 2013, 59.4, 367.0)","(40, -1, 89.2, 255.5)","(4, -1, 103.3, 232.5)","(4, -1, 104.6, 366.3)","(8, -1, 125.8, 424.3)","(25, -1, 145.8, 244.9)","(19, -1, 58.2, 347.6)"
517,"(4, 2017, 70.3, 335.9)","(4, 2013, 72.3, 292.2)","(8, 2015, 129.7, 382.8)","(104, 2012, 66.5, 394.6)","(4, 2013, 118.8, 389.4)","(102, 2012, 105.4, 375.7)","(4, -1, 77.7, 325.3)","(4, -1, 72.0, 294.0)","(8, -1, 134.7, 363.8)","(104, -1, 66.5, 391.4)","(4, -1, 129.7, 376.2)","(102, -1, 115.3, 387.2)"
518,"(104, 2017, 107.9, 348.1)","(8, 2016, 131.3, 383.4)","(58, 2012, 124.1, 238.8)","(40, 2015, 153.3, 374.4)","(4, 2012, 80.9, 300.1)","(58, 2012, 144.9, 229.1)","(104, -1, 125.2, 327.6)","(8, -1, 137.4, 346.8)","(58, -1, 120.9, 262.4)","(40, -1, 176.3, 388.0)","(4, -1, 86.5, 312.2)","(58, -1, 151.3, 224.6)"
519,"(8, 2017, 91.3, 298.6)","(40, 2016, 90.4, 207.8)","(58, 2017, 107.1, 381.3)","(4, 2017, 72.7, 251.7)","(40, 2016, 106.2, 253.4)","(104, 2014, 92.5, 288.7)","(8, -1, 82.1, 252.6)","(40, -1, 88.8, 212.8)","(58, -1, 88.8, 377.2)","(4, -1, 70.3, 251.1)","(40, -1, 84.9, 262.7)","(104, -1, 86.3, 303.7)"
520,"(25, 2012, 111.2, 237.8)","(58, 2013, 123.9, 385.3)","(40, 2016, 136.4, 337.9)","(58, 2016, 83.8, 335.8)","(0, 2015, 90.7, 383.4)","(8, 2017, 125.4, 226.4)","(25, -1, 118.6, 248.7)","(58, -1, 100.2, 350.8)","(40, -1, 132.1, 349.7)","(58, -1, 73.4, 335.1)","(0, -1, 79.1, 372.9)","(8, -1, 97.7, 217.3)"
521,"(40, 2012, 130.0, 252.1)","(58, 2012, 127.0, 333.3)","(8, 2012, 90.1, 337.6)","(4, 2015, 97.5, 366.7)","(25, 2013, 40.7, 345.5)","(104, 2013, 91.2, 208.3)","(40, -1, 139.6, 265.9)","(58, -1, 127.4, 350.5)","(8, -1, 98.6, 306.6)","(4, -1, 118.2, 384.9)","(25, -1, 36.3, 322.7)","(104, -1, 85.7, 209.4)"
522,"(104, 2013, 73.2, 324.7)","(19, 2014, 113.9, 357.1)","(102, 2015, 57.3, 373.7)","(8, 2015, 82.8, 374.4)","(4, 2017, 101.6, 238.8)","(4, 2014, 101.0, 249.0)","(104, -1, 75.7, 332.2)","(19, -1, 106.4, 342.3)","(102, -1, 51.1, 343.2)","(8, -1, 94.3, 369.7)","(4, -1, 93.5, 250.2)","(4, -1, 114.2, 266.2)"
523,"(4, 2017, 110.9, 320.6)","(58, 2012, 76.3, 293.3)","(19, 2017, 132.5, 271.9)","(58, 2013, 129.0, 393.1)","(40, 2016, 112.5, 242.9)","(25, 2013, 105.7, 370.2)","(4, -1, 121.5, 325.5)","(58, -1, 78.9, 298.7)","(19, -1, 128.5, 253.2)","(58, -1, 127.3, 396.6)","(40, -1, 120.8, 241.9)","(25, -1, 105.9, 406.0)"
524,"(8, 2017, 84.7, 321.1)","(102, 2015, 54.4, 339.1)","(104, 2014, 98.9, 354.8)","(104, 2017, 161.2, 294.2)","(0, 2014, 123.3, 394.9)","(102, 2015, 96.2, 296.1)","(8, -1, 90.2, 263.0)","(102, -1, 47.3, 300.8)","(104, -1, 86.0, 325.1)","(104, -1, 143.5, 306.4)","(0, -1, 120.3, 372.4)","(102, -1, 92.6, 330.2)"
525,"(104, 2017, 101.1, 256.5)","(104, 2017, 135.3, 381.2)","(102, 2015, 128.3, 296.6)","(25, 2014, 77.9, 385.7)","(58, 2015, 88.4, 306.2)","(58, 2013, 121.0, 245.3)","(104, -1, 106.1, 267.2)","(104, -1, 137.6, 387.4)","(102, -1, 140.0, 270.4)","(25, -1, 83.1, 402.3)","(58, -1, 83.8, 324.2)","(58, -1, 116.4, 260.1)"
526,"(104, 2014, 96.6, 268.8)","(19, 2017, 118.9, 396.4)","(102, 2014, 124.9, 242.0)","(104, 2016, 60.9, 272.5)","(25, 2013, 91.6, 257.7)","(8, 2017, 106.5, 343.2)","(104, -1, 87.8, 265.9)","(19, -1, 115.6, 390.4)","(102, -1, 119.2, 251.5)","(104, -1, 55.5, 275.8)","(25, -1, 96.5, 223.7)","(8, -1, 113.0, 356.4)"
527,"(19, 2013, 115.1, 246.3)","(0, 2012, 104.5, 366.3)","(25, 2016, 118.2, 391.7)","(104, 2015, 126.2, 283.3)","(0, 2014, 90.9, 298.7)","(25, 2016, 116.9, 357.4)","(19, -1, 130.6, 234.1)","(0, -1, 95.9, 350.0)","(25, -1, 124.0, 450.5)","(104, -1, 136.6, 252.1)","(0, -1, 98.9, 257.8)","(25, -1, 109.3, 384.4)"
528,"(8, 2012, 88.0, 288.3)","(58, 2012, 94.2, 213.9)","(8, 2013, 110.2, 308.7)","(8, 2014, 107.1, 304.4)","(8, 2012, 119.3, 283.8)","(102, 2015, 110.3, 257.9)","(8, -1, 109.2, 275.7)","(58, -1, 99.7, 207.3)","(8, -1, 109.7, 264.4)","(8, -1, 99.0, 303.0)","(8, -1, 130.8, 283.4)","(102, -1, 115.9, 250.1)"
529,"(58, 2013, 96.7, 248.9)","(58, 2016, 127.1, 307.0)","(0, 2017, 79.6, 231.3)","(8, 2014, 136.2, 225.9)","(4, 2013, 127.1, 298.1)","(25, 2016, 94.1, 273.3)","(58, -1, 108.0, 260.7)","(58, -1, 151.0, 334.8)","(0, -1, 84.5, 223.6)","(8, -1, 157.9, 177.3)","(4, -1, 103.6, 271.2)","(25, -1, 86.2, 295.7)"
530,"(58, 2017, 58.5, 356.4)","(19, 2012, 127.9, 278.4)","(104, 2012, 126.8, 381.6)","(102, 2017, 90.4, 230.9)","(40, 2013, 95.0, 382.6)","(0, 2012, 65.0, 235.1)","(58, -1, 60.3, 377.3)","(19, -1, 122.0, 262.5)","(104, -1, 137.5, 391.1)","(102, -1, 90.8, 241.2)","(40, -1, 99.2, 381.6)","(0, -1, 67.2, 243.9)"
531,"(8, 2013, 98.4, 246.2)","(4, 2015, 97.1, 243.0)","(0, 2012, 90.4, 356.7)","(40, 2014, 77.9, 284.0)","(102, 2012, 79.3, 370.5)","(19, 2014, 136.3, 331.2)","(8, -1, 87.3, 233.5)","(4, -1, 95.9, 219.9)","(0, -1, 82.2, 381.7)","(40, -1, 81.3, 307.9)","(102, -1, 76.6, 350.9)","(19, -1, 121.9, 322.6)"
532,"(25, 2017, 58.7, 221.6)","(25, 2013, 35.9, 205.1)","(102, 2014, 71.9, 318.0)","(4, 2012, 108.7, 378.8)","(102, 2016, 124.5, 244.7)","(102, 2013, 80.2, 289.2)","(25, -1, 60.5, 238.1)","(25, -1, 27.9, 213.6)","(102, -1, 63.9, 315.8)","(4, -1, 102.9, 407.0)","(102, -1, 100.1, 245.7)","(102, -1, 90.5, 314.7)"
533,"(104, 2014, 148.7, 209.0)","(40, 2012, 109.0, 296.6)","(58, 2012, 102.8, 359.9)","(4, 2015, 93.0, 295.9)","(0, 2015, 111.5, 286.8)","(0, 2016, 115.1, 248.8)","(104, -1, 156.9, 215.7)","(40, -1, 118.6, 259.1)","(58, -1, 115.0, 371.7)","(4, -1, 91.1, 277.3)","(0, -1, 92.2, 304.6)","(0, -1, 93.8, 248.2)"
534,"(0, 2017, 86.7, 306.9)","(8, 2013, 101.4, 368.1)","(19, 2015, 55.8, 309.7)","(4, 2016, 98.7, 258.7)","(58, 2014, 149.9, 357.5)","(25, 2013, 139.2, 222.0)","(0, -1, 91.2, 290.4)","(8, -1, 119.6, 373.8)","(19, -1, 54.4, 314.7)","(4, -1, 93.8, 246.4)","(58, -1, 128.5, 350.6)","(25, -1, 143.9, 253.8)"
535,"(0, 2013, 135.9, 207.1)","(104, 2017, 85.2, 239.7)","(104, 2017, 69.8, 306.1)","(58, 2017, 83.1, 259.3)","(25, 2015, 80.8, 336.5)","(40, 2013, 106.0, 368.3)","(0, -1, 145.4, 166.0)","(104, -1, 78.4, 209.2)","(104, -1, 74.9, 307.7)","(58, -1, 87.6, 255.7)","(25, -1, 87.7, 336.9)","(40, -1, 95.6, 348.3)"
536,"(40, 2017, 78.4, 263.5)","(102, 2016, 59.1, 350.3)","(102, 2013, 144.7, 248.8)","(19, 2012, 109.4, 364.3)","(40, 2016, 139.3, 384.7)","(40, 2017, 63.8, 280.0)","(40, -1, 70.8, 234.8)","(102, -1, 61.0, 341.3)","(102, -1, 166.4, 261.9)","(19, -1, 118.1, 408.0)","(40, -1, 150.7, 352.3)","(40, -1, 64.2, 293.6)"
537,"(25, 2016, 121.1, 217.7)","(0, 2013, 70.0, 280.9)","(40, 2013, 91.3, 274.6)","(58, 2017, 80.8, 301.9)","(102, 2015, 84.1, 299.6)","(0, 2017, 141.4, 375.0)","(25, -1, 119.3, 237.7)","(0, -1, 66.8, 267.7)","(40, -1, 86.9, 233.2)","(58, -1, 75.3, 314.6)","(102, -1, 88.0, 312.2)","(0, -1, 140.8, 355.0)"
538,"(104, 2012, 84.4, 323.9)","(0, 2015, 112.3, 215.4)","(102, 2013, 121.1, 331.1)","(104, 2012, 75.5, 357.1)","(104, 2014, 63.9, 231.0)","(25, 2015, 115.8, 242.3)","(104, -1, 99.7, 347.4)","(0, -1, 127.9, 214.4)","(102, -1, 108.1, 305.8)","(104, -1, 75.3, 307.8)","(104, -1, 59.8, 255.9)","(25, -1, 116.7, 265.5)"
539,"(0, 2013, 86.1, 382.0)","(19, 2016, 87.3, 390.9)","(58, 2017, 102.8, 219.1)","(104, 2016, 87.2, 385.3)","(19, 2013, 70.1, 399.9)","(25, 2014, 118.6, 293.4)","(0, -1, 81.6, 367.2)","(19, -1, 88.9, 381.9)","(58, -1, 101.1, 217.4)","(104, -1, 91.6, 359.5)","(19, -1, 58.0, 451.3)","(25, -1, 138.1, 270.1)"
540,"(25, 2014, 102.1, 366.0)","(25, 2012, 101.3, 238.8)","(4, 2016, 128.7, 295.7)","(19, 2014, 119.5, 222.3)","(104, 2015, 113.5, 339.8)","(104, 2017, 130.5, 276.6)","(25, -1, 94.8, 318.8)","(25, -1, 96.3, 277.8)","(4, -1, 139.1, 308.1)","(19, -1, 131.4, 205.6)","(104, -1, 112.3, 298.2)","(104, -1, 129.4, 273.6)"
541,"(19, 2014, 151.9, 229.2)","(8, 2015, 37.8, 244.4)","(4, 2016, 89.4, 226.2)","(25, 2015, 125.2, 270.3)","(102, 2013, 81.2, 368.7)","(58, 2017, 102.0, 292.8)","(19, -1, 162.1, 247.8)","(8, -1, 32.2, 227.9)","(4, -1, 83.0, 206.3)","(25, -1, 120.5, 286.7)","(102, -1, 79.9, 408.3)","(58, -1, 109.2, 309.5)"
542,"(104, 2015, 114.0, 333.8)","(0, 2017, 89.7, 391.1)","(4, 2013, 103.3, 339.3)","(4, 2014, 86.9, 248.6)","(19, 2013, 90.4, 216.2)","(102, 2016, 101.6, 364.5)","(104, -1, 127.9, 329.6)","(0, -1, 86.0, 369.0)","(4, -1, 108.2, 363.1)","(4, -1, 89.9, 257.5)","(19, -1, 94.3, 200.1)","(102, -1, 94.7, 397.6)"
543,"(104, 2017, 106.5, 255.8)","(25, 2016, 73.9, 325.4)","(58, 2015, 87.8, 383.5)","(8, 2016, 101.0, 305.3)","(58, 2012, 89.5, 303.1)","(0, 2015, 100.4, 276.6)","(104, -1, 109.3, 227.3)","(25, -1, 56.3, 340.4)","(58, -1, 88.5, 375.6)","(8, -1, 95.7, 322.4)","(58, -1, 86.4, 293.4)","(0, -1, 101.7, 261.8)"
544,"(0, 2012, 75.0, 297.7)","(8, 2017, 79.5, 335.4)","(0, 2016, 105.5, 324.0)","(40, 2017, 86.4, 373.9)","(0, 2014, 61.4, 397.9)","(25, 2014, 89.1, 283.9)","(0, -1, 71.8, 320.7)","(8, -1, 87.7, 339.5)","(0, -1, 113.2, 336.6)","(40, -1, 77.3, 386.5)","(0, -1, 59.1, 417.6)","(25, -1, 76.2, 238.2)"
545,"(102, 2017, 110.6, 396.0)","(102, 2017, 94.0, 332.9)","(4, 2016, 59.4, 348.2)","(104, 2014, 108.3, 278.9)","(58, 2014, 40.9, 342.4)","(40, 2017, 106.3, 366.4)","(102, -1, 119.0, 417.8)","(102, -1, 93.0, 383.7)","(4, -1, 60.7, 336.4)","(104, -1, 106.5, 279.9)","(58, -1, 43.2, 325.8)","(40, -1, 120.0, 299.6)"
546,"(4, 2016, 94.3, 320.3)","(40, 2016, 108.2, 223.8)","(25, 2012, 123.7, 316.8)","(8, 2013, 99.9, 245.4)","(58, 2012, 109.9, 283.4)","(4, 2015, 90.5, 289.8)","(4, -1, 99.0, 343.0)","(40, -1, 118.8, 208.7)","(25, -1, 131.1, 312.0)","(8, -1, 110.2, 255.0)","(58, -1, 105.5, 286.0)","(4, -1, 103.5, 297.1)"
547,"(4, 2017, 82.0, 341.0)","(102, 2015, 124.1, 284.1)","(40, 2014, 75.9, 300.8)","(25, 2017, 88.9, 223.4)","(4, 2015, 132.5, 336.4)","(40, 2017, 101.3, 212.5)","(4, -1, 78.3, 325.1)","(102, -1, 135.6, 333.5)","(40, -1, 62.2, 320.4)","(25, -1, 72.4, 214.7)","(4, -1, 141.4, 349.5)","(40, -1, 99.6, 189.8)"
548,"(102, 2014, 133.0, 262.5)","(104, 2017, 99.7, 333.0)","(8, 2016, 46.0, 260.2)","(25, 2017, 92.9, 201.5)","(102, 2017, 126.7, 288.7)","(8, 2013, 87.8, 330.0)","(102, -1, 118.5, 266.5)","(104, -1, 110.1, 269.9)","(8, -1, 36.7, 238.0)","(25, -1, 99.2, 221.0)","(102, -1, 129.1, 298.6)","(8, -1, 100.4, 368.1)"
549,"(104, 2016, 126.4, 369.3)","(8, 2016, 87.2, 377.9)","(4, 2016, 85.4, 249.0)","(104, 2014, 145.7, 390.9)","(102, 2014, 68.6, 274.4)","(4, 2013, 161.0, 208.8)","(104, -1, 138.1, 379.8)","(8, -1, 90.2, 406.6)","(4, -1, 70.2, 231.9)","(104, -1, 155.1, 327.2)","(102, -1, 70.9, 273.4)","(4, -1, 141.8, 183.9)"
550,"(19, 2016, 67.7, 261.8)","(40, 2013, 68.6, 235.0)","(104, 2017, 73.2, 254.3)","(4, 2014, 108.9, 311.0)","(19, 2016, 156.8, 319.1)","(4, 2013, 140.7, 230.4)","(19, -1, 62.9, 264.2)","(40, -1, 61.0, 232.4)","(104, -1, 74.9, 276.2)","(4, -1, 105.4, 353.1)","(19, -1, 153.5, 288.6)","(4, -1, 120.3, 234.7)"
551,"(8, 2017, 123.2, 278.6)","(102, 2015, 110.5, 324.2)","(40, 2016, 117.5, 304.8)","(104, 2015, 106.9, 311.6)","(40, 2015, 101.5, 382.9)","(19, 2012, 93.2, 343.3)","(8, -1, 129.0, 298.8)","(102, -1, 124.5, 286.1)","(40, -1, 118.0, 332.4)","(104, -1, 98.1, 260.7)","(40, -1, 97.0, 327.9)","(19, -1, 87.8, 352.6)"
552,"(8, 2016, 99.5, 260.3)","(40, 2017, 73.0, 296.2)","(25, 2013, 107.2, 220.2)","(104, 2013, 80.1, 259.6)","(4, 2013, 86.1, 387.6)","(0, 2015, 101.5, 338.7)","(8, -1, 99.6, 248.3)","(40, -1, 70.4, 345.6)","(25, -1, 102.9, 202.1)","(104, -1, 91.0, 257.0)","(4, -1, 69.5, 396.7)","(0, -1, 95.1, 342.5)"
553,"(104, 2016, 105.2, 398.3)","(104, 2012, 141.0, 283.5)","(25, 2014, 123.9, 305.2)","(0, 2012, 97.1, 392.9)","(25, 2017, 110.2, 324.3)","(8, 2017, 107.8, 291.6)","(104, -1, 97.0, 353.2)","(104, -1, 112.0, 316.8)","(25, -1, 114.6, 303.4)","(0, -1, 106.4, 425.6)","(25, -1, 118.5, 325.5)","(8, -1, 111.7, 284.3)"
554,"(102, 2013, 98.9, 346.1)","(25, 2012, 63.8, 325.0)","(25, 2017, 63.7, 393.9)","(40, 2015, 73.8, 391.1)","(58, 2013, 73.1, 359.4)","(19, 2017, 75.5, 250.8)","(102, -1, 76.9, 352.3)","(25, -1, 60.6, 318.7)","(25, -1, 63.9, 343.9)","(40, -1, 74.1, 380.7)","(58, -1, 75.2, 373.9)","(19, -1, 83.9, 268.5)"
555,"(102, 2012, 125.1, 318.5)","(0, 2017, 154.3, 387.7)","(25, 2017, 95.7, 200.3)","(25, 2012, 90.1, 221.1)","(40, 2014, 79.7, 293.6)","(104, 2017, 92.2, 329.3)","(102, -1, 93.4, 295.5)","(0, -1, 114.1, 419.0)","(25, -1, 100.9, 184.5)","(25, -1, 87.1, 219.6)","(40, -1, 77.3, 293.5)","(104, -1, 88.6, 364.6)"
556,"(40, 2017, 143.5, 225.7)","(58, 2013, 111.6, 267.0)","(4, 2014, 90.2, 202.6)","(25, 2013, 86.1, 349.6)","(40, 2014, 67.2, 240.4)","(19, 2012, 98.7, 367.6)","(40, -1, 149.0, 239.0)","(58, -1, 77.2, 239.8)","(4, -1, 89.9, 204.3)","(25, -1, 103.2, 358.6)","(40, -1, 66.5, 250.8)","(19, -1, 78.2, 347.4)"
557,"(58, 2015, 91.7, 312.2)","(104, 2014, 116.0, 327.5)","(102, 2013, 102.8, 235.8)","(25, 2016, 140.5, 237.1)","(102, 2016, 139.9, 268.2)","(104, 2014, 119.3, 385.6)","(58, -1, 100.3, 306.8)","(104, -1, 98.6, 347.1)","(102, -1, 95.5, 218.0)","(25, -1, 134.6, 231.8)","(102, -1, 117.4, 292.4)","(104, -1, 112.5, 328.2)"
558,"(4, 2012, 103.3, 224.6)","(25, 2017, 66.9, 304.7)","(40, 2017, 88.2, 249.9)","(40, 2014, 92.5, 346.0)","(19, 2015, 89.0, 262.0)","(104, 2013, 122.6, 397.1)","(4, -1, 106.6, 223.9)","(25, -1, 76.1, 288.5)","(40, -1, 90.4, 259.3)","(40, -1, 108.0, 355.5)","(19, -1, 91.7, 249.3)","(104, -1, 116.3, 422.2)"
559,"(19, 2016, 119.2, 302.4)","(40, 2013, 123.1, 291.7)","(19, 2013, 142.1, 361.4)","(25, 2014, 136.0, 285.2)","(58, 2012, 37.2, 372.3)","(4, 2013, 110.2, 396.1)","(19, -1, 99.8, 294.4)","(40, -1, 124.1, 272.2)","(19, -1, 138.7, 427.0)","(25, -1, 136.2, 294.2)","(58, -1, 35.7, 416.6)","(4, -1, 100.8, 425.8)"
560,"(102, 2012, 101.6, 264.1)","(58, 2015, 91.7, 374.9)","(40, 2017, 143.7, 340.5)","(8, 2015, 109.3, 268.9)","(19, 2017, 93.2, 396.4)","(40, 2017, 60.0, 379.7)","(102, -1, 107.7, 281.7)","(58, -1, 95.5, 377.7)","(40, -1, 166.4, 364.5)","(8, -1, 107.8, 287.5)","(19, -1, 85.7, 358.1)","(40, -1, 65.0, 437.2)"
561,"(104, 2012, 117.5, 270.5)","(19, 2014, 111.5, 386.1)","(4, 2014, 159.2, 344.8)","(58, 2014, 112.5, 312.3)","(102, 2016, 90.9, 255.0)","(104, 2015, 56.5, 259.7)","(104, -1, 114.9, 299.3)","(19, -1, 119.5, 367.8)","(4, -1, 203.0, 352.7)","(58, -1, 91.1, 359.7)","(102, -1, 80.2, 273.3)","(104, -1, 61.9, 257.3)"
562,"(4, 2015, 71.0, 270.6)","(102, 2017, 99.7, 384.4)","(19, 2013, 98.1, 312.9)","(102, 2012, 131.6, 367.7)","(25, 2016, 105.9, 250.4)","(4, 2017, 73.5, 360.7)","(4, -1, 55.1, 292.8)","(102, -1, 98.1, 398.5)","(19, -1, 83.3, 303.5)","(102, -1, 125.0, 403.3)","(25, -1, 108.5, 236.7)","(4, -1, 63.6, 375.0)"
