Scenario no.,SB0,SB1,SB2,SB3,SB4,BM0,BM1,BM2,BM3,BM4
531,"(25, 2015, 122.2, 257.5)","(25, 2016, 54.8, 373.7)","(19, 2013, 112.8, 213.7)","(0, 2014, 134.1, 264.3)","(40, 2014, 125.1, 285.7)","(25, -1, 132.3, 255.4)","(25, -1, 60.6, 387.5)","(19, -1, 125.8, 207.6)","(0, -1, 150.3, 220.7)","(40, -1, 128.6, 278.8)"
532,"(104, 2017, 121.8, 225.3)","(104, 2017, 96.6, 232.4)","(102, 2014, 91.3, 284.1)","(8, 2012, 84.1, 347.9)","(40, 2016, 79.2, 208.6)","(104, -1, 103.1, 220.1)","(104, -1, 102.1, 210.1)","(102, -1, 95.9, 272.2)","(8, -1, 76.9, 366.9)","(40, -1, 79.5, 228.1)"
533,"(4, 2016, 86.3, 354.1)","(40, 2015, 81.5, 203.3)","(8, 2012, 120.2, 223.7)","(4, 2017, 112.5, 221.0)","(8, 2016, 70.6, 295.6)","(4, -1, 94.4, 339.2)","(40, -1, 81.6, 193.2)","(8, -1, 130.4, 237.7)","(4, -1, 99.8, 194.0)","(8, -1, 69.0, 227.4)"
534,"(58, 2014, 128.3, 368.3)","(102, 2014, 99.2, 395.5)","(25, 2014, 109.1, 392.7)","(58, 2016, 65.7, 207.9)","(4, 2014, 68.1, 286.4)","(58, -1, 119.4, 379.9)","(102, -1, 94.4, 426.9)","(25, -1, 107.9, 393.3)","(58, -1, 67.5, 218.6)","(4, -1, 63.5, 305.4)"
535,"(40, 2016, 120.9, 272.7)","(102, 2016, 101.8, 393.5)","(40, 2013, 67.3, 203.7)","(25, 2014, 130.6, 230.6)","(104, 2016, 148.7, 200.3)","(40, -1, 102.7, 271.6)","(102, -1, 96.5, 394.4)","(40, -1, 62.7, 176.5)","(25, -1, 136.3, 187.5)","(104, -1, 159.4, 214.6)"
536,"(8, 2016, 97.5, 239.9)","(58, 2014, 169.4, 260.0)","(4, 2014, 115.9, 280.2)","(104, 2014, 74.0, 325.3)","(102, 2015, 131.2, 291.1)","(8, -1, 87.6, 246.2)","(58, -1, 157.5, 248.4)","(4, -1, 97.6, 262.0)","(104, -1, 79.7, 314.6)","(102, -1, 110.3, 311.0)"
537,"(4, 2014, 100.5, 382.8)","(4, 2013, 104.5, 331.1)","(4, 2012, 134.8, 325.1)","(102, 2016, 109.8, 354.6)","(104, 2014, 41.0, 258.0)","(4, -1, 96.0, 403.7)","(4, -1, 84.0, 308.4)","(4, -1, 114.0, 348.5)","(102, -1, 105.4, 363.7)","(104, -1, 36.4, 245.7)"
538,"(19, 2015, 101.2, 260.5)","(40, 2016, 120.4, 297.0)","(4, 2016, 137.0, 378.1)","(4, 2013, 169.7, 210.1)","(0, 2017, 84.9, 368.1)","(19, -1, 101.7, 246.5)","(40, -1, 120.0, 273.3)","(4, -1, 135.4, 383.1)","(4, -1, 174.5, 198.7)","(0, -1, 90.2, 409.5)"
539,"(102, 2015, 37.6, 223.2)","(58, 2016, 94.7, 344.9)","(8, 2013, 97.8, 227.3)","(58, 2015, 123.3, 257.0)","(25, 2017, 107.6, 201.2)","(102, -1, 36.3, 235.3)","(58, -1, 103.7, 363.3)","(8, -1, 101.3, 218.5)","(58, -1, 119.7, 244.4)","(25, -1, 105.4, 213.8)"
540,"(4, 2017, 120.0, 267.5)","(0, 2015, 87.6, 259.4)","(25, 2014, 133.4, 369.9)","(25, 2015, 80.0, 305.7)","(102, 2013, 91.9, 387.5)","(4, -1, 110.4, 258.6)","(0, -1, 81.1, 233.0)","(25, -1, 122.8, 340.2)","(25, -1, 85.1, 279.6)","(102, -1, 105.1, 354.7)"
541,"(0, 2015, 80.1, 223.3)","(0, 2015, 105.7, 291.6)","(102, 2017, 171.0, 283.8)","(0, 2015, 106.1, 277.7)","(58, 2017, 111.7, 381.3)","(0, -1, 82.2, 234.3)","(0, -1, 113.2, 294.6)","(102, -1, 208.9, 255.5)","(0, -1, 122.3, 269.8)","(58, -1, 95.1, 356.4)"
542,"(25, 2017, 66.3, 213.1)","(58, 2014, 94.3, 363.1)","(102, 2016, 72.7, 207.8)","(58, 2015, 117.5, 242.0)","(58, 2012, 135.9, 212.9)","(25, -1, 72.0, 244.6)","(58, -1, 110.2, 347.2)","(102, -1, 78.9, 211.4)","(58, -1, 136.9, 259.3)","(58, -1, 154.6, 204.4)"
543,"(58, 2017, 92.7, 370.7)","(0, 2017, 69.9, 312.4)","(102, 2016, 134.9, 340.0)","(40, 2012, 88.9, 201.6)","(8, 2017, 126.3, 262.2)","(58, -1, 74.3, 417.4)","(0, -1, 71.7, 335.9)","(102, -1, 156.0, 357.5)","(40, -1, 84.1, 202.6)","(8, -1, 119.0, 248.0)"
544,"(8, 2015, 90.7, 339.1)","(25, 2014, 123.0, 324.4)","(0, 2013, 98.6, 300.7)","(25, 2017, 100.0, 353.9)","(102, 2017, 108.2, 374.3)","(8, -1, 98.3, 329.1)","(25, -1, 119.7, 306.9)","(0, -1, 94.6, 304.9)","(25, -1, 101.6, 326.8)","(102, -1, 104.6, 370.5)"
545,"(19, 2017, 67.5, 374.3)","(104, 2016, 134.0, 284.8)","(58, 2015, 81.5, 348.2)","(58, 2012, 123.9, 227.6)","(40, 2015, 88.1, 260.4)","(19, -1, 74.7, 412.8)","(104, -1, 127.5, 290.2)","(58, -1, 81.4, 342.4)","(58, -1, 119.5, 238.6)","(40, -1, 95.0, 247.9)"
546,"(8, 2013, 139.0, 305.6)","(58, 2015, 127.2, 232.4)","(58, 2012, 128.8, 201.6)","(40, 2012, 150.1, 305.0)","(0, 2015, 87.2, 275.6)","(8, -1, 148.0, 304.7)","(58, -1, 141.2, 226.0)","(58, -1, 132.1, 206.1)","(40, -1, 165.3, 361.1)","(0, -1, 93.7, 269.4)"
547,"(8, 2015, 106.3, 394.1)","(4, 2016, 108.7, 343.4)","(58, 2014, 73.6, 301.2)","(4, 2017, 100.8, 289.1)","(25, 2013, 57.2, 279.6)","(8, -1, 103.9, 398.7)","(4, -1, 96.8, 323.7)","(58, -1, 79.3, 335.8)","(4, -1, 103.0, 271.9)","(25, -1, 59.2, 313.2)"
548,"(8, 2014, 76.6, 355.7)","(4, 2015, 139.7, 352.4)","(40, 2014, 108.9, 388.9)","(8, 2017, 92.6, 271.2)","(4, 2013, 108.1, 266.3)","(8, -1, 77.6, 360.9)","(4, -1, 127.0, 280.6)","(40, -1, 83.9, 382.8)","(8, -1, 105.0, 240.5)","(4, -1, 120.3, 285.1)"
549,"(40, 2014, 110.2, 247.1)","(8, 2013, 137.1, 397.0)","(58, 2012, 104.3, 338.9)","(58, 2012, 160.4, 243.5)","(8, 2015, 109.1, 205.1)","(40, -1, 121.9, 272.9)","(8, -1, 120.5, 426.6)","(58, -1, 107.5, 369.8)","(58, -1, 151.3, 243.3)","(8, -1, 91.3, 208.7)"
550,"(0, 2014, 114.0, 303.5)","(25, 2017, 118.6, 363.4)","(40, 2017, 72.3, 304.5)","(102, 2012, 90.0, 297.1)","(19, 2017, 123.5, 339.5)","(0, -1, 126.3, 293.1)","(25, -1, 110.6, 411.9)","(40, -1, 74.1, 306.5)","(102, -1, 72.4, 311.0)","(19, -1, 118.5, 353.4)"
551,"(58, 2014, 88.6, 368.0)","(40, 2017, 93.0, 347.8)","(40, 2012, 83.7, 302.3)","(8, 2015, 104.5, 254.7)","(0, 2012, 125.8, 395.7)","(58, -1, 70.9, 372.9)","(40, -1, 95.5, 333.4)","(40, -1, 93.4, 272.7)","(8, -1, 122.2, 246.6)","(0, -1, 123.8, 386.3)"
552,"(40, 2012, 103.8, 272.8)","(4, 2013, 86.7, 334.6)","(19, 2015, 140.2, 291.0)","(0, 2016, 78.1, 219.3)","(102, 2014, 112.5, 241.3)","(40, -1, 101.8, 262.2)","(4, -1, 79.4, 313.8)","(19, -1, 154.5, 325.6)","(0, -1, 86.4, 212.8)","(102, -1, 95.5, 215.8)"
553,"(4, 2016, 119.4, 255.0)","(19, 2017, 78.6, 391.8)","(58, 2016, 86.1, 306.9)","(40, 2013, 117.5, 353.9)","(58, 2016, 110.6, 336.8)","(4, -1, 128.2, 256.9)","(19, -1, 79.3, 405.2)","(58, -1, 86.5, 343.0)","(40, -1, 101.4, 315.8)","(58, -1, 106.0, 358.6)"
554,"(58, 2012, 69.5, 271.5)","(4, 2013, 113.0, 380.3)","(40, 2013, 111.8, 318.1)","(25, 2017, 70.2, 334.7)","(102, 2013, 110.8, 275.1)","(58, -1, 74.2, 265.4)","(4, -1, 104.3, 379.5)","(40, -1, 108.8, 289.9)","(25, -1, 67.6, 378.2)","(102, -1, 115.5, 284.8)"
555,"(58, 2015, 87.9, 338.7)","(19, 2016, 72.4, 217.2)","(8, 2013, 131.3, 332.5)","(19, 2017, 62.4, 266.9)","(58, 2012, 90.5, 225.0)","(58, -1, 90.6, 333.3)","(19, -1, 68.8, 217.9)","(8, -1, 140.2, 362.7)","(19, -1, 57.3, 313.8)","(58, -1, 80.6, 215.0)"
556,"(40, 2012, 141.4, 364.7)","(102, 2013, 70.3, 201.9)","(102, 2015, 123.7, 201.4)","(58, 2014, 78.5, 346.7)","(58, 2013, 103.6, 371.2)","(40, -1, 122.7, 335.6)","(102, -1, 73.5, 191.1)","(102, -1, 142.8, 178.8)","(58, -1, 93.6, 333.4)","(58, -1, 111.0, 407.9)"
557,"(40, 2014, 92.4, 352.5)","(104, 2017, 77.5, 396.4)","(40, 2015, 85.6, 286.9)","(19, 2013, 130.2, 274.7)","(102, 2013, 103.0, 393.1)","(40, -1, 81.0, 282.0)","(104, -1, 85.8, 425.0)","(40, -1, 91.2, 297.5)","(19, -1, 134.3, 303.1)","(102, -1, 89.3, 384.8)"
558,"(8, 2012, 102.4, 258.0)","(102, 2013, 95.7, 348.7)","(8, 2013, 89.4, 263.7)","(40, 2013, 84.8, 358.4)","(0, 2017, 58.3, 208.3)","(8, -1, 103.6, 279.4)","(102, -1, 81.4, 304.1)","(8, -1, 78.4, 253.1)","(40, -1, 96.8, 355.3)","(0, -1, 55.5, 199.2)"
559,"(8, 2012, 97.5, 273.8)","(104, 2014, 51.8, 324.9)","(4, 2012, 126.6, 232.8)","(104, 2012, 86.3, 301.1)","(8, 2013, 110.5, 297.0)","(8, -1, 98.3, 274.2)","(104, -1, 54.4, 344.8)","(4, -1, 137.0, 240.7)","(104, -1, 98.8, 282.8)","(8, -1, 111.6, 265.0)"
560,"(104, 2013, 103.0, 255.9)","(58, 2017, 90.1, 232.8)","(104, 2016, 185.6, 356.0)","(19, 2017, 71.0, 360.9)","(58, 2017, 125.3, 398.8)","(104, -1, 78.5, 296.0)","(58, -1, 98.3, 267.8)","(104, -1, 160.2, 352.6)","(19, -1, 74.7, 361.2)","(58, -1, 144.5, 415.6)"
561,"(25, 2016, 84.6, 289.7)","(0, 2015, 113.8, 385.1)","(58, 2016, 90.1, 308.7)","(58, 2013, 116.1, 319.2)","(19, 2015, 75.8, 267.8)","(25, -1, 74.4, 250.5)","(0, -1, 125.8, 416.9)","(58, -1, 75.3, 271.3)","(58, -1, 144.5, 312.2)","(19, -1, 83.0, 319.8)"
562,"(25, 2014, 108.5, 327.0)","(104, 2017, 144.8, 245.2)","(58, 2016, 89.9, 369.1)","(0, 2017, 73.2, 375.3)","(0, 2016, 111.7, 295.2)","(25, -1, 99.4, 331.4)","(104, -1, 147.6, 238.9)","(58, -1, 98.6, 361.6)","(0, -1, 75.7, 401.8)","(0, -1, 103.0, 275.6)"
563,"(19, 2013, 60.0, 257.8)","(40, 2013, 89.3, 346.6)","(102, 2012, 125.3, 228.8)","(0, 2012, 84.0, 261.4)","(104, 2016, 100.6, 290.9)","(19, -1, 64.2, 242.1)","(40, -1, 84.0, 320.1)","(102, -1, 116.2, 234.3)","(0, -1, 76.9, 271.8)","(104, -1, 97.2, 275.5)"
564,"(0, 2016, 98.5, 211.6)","(4, 2015, 94.7, 225.4)","(25, 2017, 80.5, 358.3)","(0, 2016, 117.3, 249.4)","(8, 2013, 75.1, 339.6)","(0, -1, 91.4, 201.7)","(4, -1, 100.3, 208.5)","(25, -1, 81.0, 368.7)","(0, -1, 114.5, 247.2)","(8, -1, 89.3, 345.9)"
565,"(25, 2013, 90.8, 316.3)","(104, 2015, 105.1, 206.5)","(8, 2014, 84.4, 327.5)","(8, 2014, 87.6, 291.6)","(102, 2013, 106.5, 220.2)","(25, -1, 95.4, 374.1)","(104, -1, 98.6, 220.6)","(8, -1, 83.3, 276.5)","(8, -1, 87.8, 315.2)","(102, -1, 101.3, 205.4)"
566,"(58, 2012, 22.9, 268.9)","(19, 2017, 117.3, 301.4)","(8, 2017, 110.9, 201.9)","(58, 2014, 82.6, 273.9)","(40, 2012, 107.7, 340.4)","(58, -1, 23.2, 262.8)","(19, -1, 128.6, 290.7)","(8, -1, 108.4, 209.4)","(58, -1, 96.1, 259.4)","(40, -1, 93.7, 339.5)"
567,"(25, 2013, 102.8, 278.9)","(19, 2013, 107.0, 294.7)","(19, 2012, 78.6, 221.0)","(102, 2013, 51.6, 366.0)","(25, 2016, 73.2, 396.4)","(25, -1, 88.7, 289.4)","(19, -1, 106.2, 274.2)","(19, -1, 78.7, 253.1)","(102, -1, 54.4, 385.9)","(25, -1, 85.1, 416.2)"
568,"(25, 2013, 120.8, 313.8)","(40, 2016, 85.8, 356.9)","(25, 2015, 124.4, 360.3)","(4, 2012, 133.0, 298.9)","(4, 2014, 86.6, 219.7)","(25, -1, 116.1, 346.1)","(40, -1, 88.7, 357.0)","(25, -1, 134.3, 381.3)","(4, -1, 121.1, 328.6)","(4, -1, 83.1, 251.2)"
569,"(102, 2015, 114.4, 209.7)","(0, 2017, 91.9, 278.9)","(0, 2012, 63.8, 340.8)","(40, 2014, 141.7, 216.4)","(102, 2016, 77.6, 235.1)","(102, -1, 110.3, 212.6)","(0, -1, 107.5, 202.5)","(0, -1, 70.7, 336.6)","(40, -1, 148.4, 217.8)","(102, -1, 80.2, 196.6)"
570,"(0, 2014, 82.7, 237.7)","(40, 2016, 74.0, 228.8)","(8, 2013, 114.2, 362.8)","(0, 2013, 116.9, 372.9)","(102, 2016, 102.7, 265.1)","(0, -1, 91.3, 236.5)","(40, -1, 72.7, 235.8)","(8, -1, 114.0, 378.5)","(0, -1, 126.0, 373.9)","(102, -1, 102.7, 260.8)"
571,"(40, 2015, 27.0, 237.5)","(0, 2014, 85.6, 245.4)","(19, 2016, 88.5, 361.3)","(40, 2015, 131.5, 254.0)","(19, 2014, 89.1, 349.5)","(40, -1, 33.0, 229.5)","(0, -1, 79.7, 228.5)","(19, -1, 79.2, 316.2)","(40, -1, 138.6, 270.5)","(19, -1, 89.1, 346.5)"
572,"(8, 2015, 136.6, 311.0)","(8, 2016, 73.7, 375.5)","(0, 2014, 56.0, 200.2)","(104, 2014, 85.4, 378.9)","(19, 2015, 136.5, 210.1)","(8, -1, 122.3, 282.3)","(8, -1, 58.1, 341.3)","(0, -1, 59.1, 210.1)","(104, -1, 88.2, 301.8)","(19, -1, 138.0, 209.9)"
573,"(58, 2017, 94.2, 383.8)","(25, 2013, 102.4, 221.7)","(19, 2014, 96.9, 259.0)","(25, 2017, 123.8, 245.5)","(4, 2015, 106.3, 235.0)","(58, -1, 99.2, 389.0)","(25, -1, 77.3, 206.1)","(19, -1, 96.7, 266.3)","(25, -1, 132.1, 242.3)","(4, -1, 97.5, 208.8)"
574,"(0, 2013, 99.3, 339.7)","(4, 2017, 76.8, 303.6)","(4, 2012, 77.6, 372.8)","(102, 2015, 100.3, 360.2)","(8, 2014, 112.1, 247.8)","(0, -1, 100.4, 352.4)","(4, -1, 76.8, 279.9)","(4, -1, 87.9, 424.0)","(102, -1, 117.6, 306.0)","(8, -1, 116.5, 246.2)"
575,"(102, 2012, 111.8, 230.3)","(0, 2016, 108.5, 387.4)","(4, 2012, 75.1, 282.8)","(104, 2012, 101.0, 291.5)","(0, 2012, 54.5, 394.6)","(102, -1, 105.7, 203.7)","(0, -1, 105.2, 392.1)","(4, -1, 74.9, 259.2)","(104, -1, 85.4, 333.3)","(0, -1, 57.6, 385.0)"
576,"(19, 2013, 59.3, 392.8)","(40, 2017, 120.2, 223.9)","(4, 2017, 136.3, 212.5)","(8, 2013, 88.9, 316.6)","(4, 2013, 65.2, 347.5)","(19, -1, 53.3, 345.7)","(40, -1, 112.6, 217.6)","(4, -1, 122.9, 235.9)","(8, -1, 69.2, 323.2)","(4, -1, 56.2, 322.4)"
577,"(25, 2012, 97.8, 274.8)","(102, 2014, 69.7, 254.9)","(104, 2017, 77.2, 334.2)","(25, 2014, 111.1, 233.3)","(25, 2012, 86.8, 305.7)","(25, -1, 82.0, 274.9)","(102, -1, 76.0, 249.0)","(104, -1, 71.4, 332.0)","(25, -1, 109.5, 242.8)","(25, -1, 90.4, 323.6)"
578,"(58, 2012, 144.0, 380.4)","(40, 2014, 64.3, 309.1)","(4, 2015, 90.7, 316.5)","(0, 2016, 129.0, 343.7)","(4, 2012, 126.2, 294.1)","(58, -1, 160.4, 393.9)","(40, -1, 65.8, 339.6)","(4, -1, 103.8, 293.2)","(0, -1, 134.9, 326.0)","(4, -1, 125.0, 318.2)"
579,"(0, 2017, 55.0, 290.8)","(19, 2012, 74.5, 221.1)","(40, 2013, 98.9, 380.0)","(40, 2013, 109.8, 200.9)","(58, 2012, 100.4, 346.0)","(0, -1, 60.5, 278.5)","(19, -1, 68.9, 217.9)","(40, -1, 99.1, 399.5)","(40, -1, 90.0, 222.9)","(58, -1, 109.2, 354.2)"
580,"(8, 2015, 99.6, 396.7)","(40, 2015, 99.1, 344.9)","(102, 2017, 136.6, 395.2)","(40, 2017, 58.4, 213.8)","(104, 2013, 118.8, 306.2)","(8, -1, 86.1, 438.9)","(40, -1, 85.3, 357.8)","(102, -1, 131.8, 367.1)","(40, -1, 62.8, 227.9)","(104, -1, 110.5, 291.7)"
581,"(4, 2016, 140.3, 380.0)","(40, 2012, 83.6, 256.5)","(104, 2015, 130.3, 241.4)","(4, 2015, 107.3, 257.3)","(25, 2017, 112.0, 309.8)","(4, -1, 145.3, 365.7)","(40, -1, 83.5, 215.8)","(104, -1, 122.4, 251.8)","(4, -1, 113.8, 259.6)","(25, -1, 110.6, 309.7)"
582,"(0, 2012, 124.0, 309.3)","(8, 2017, 82.5, 264.7)","(0, 2016, 114.7, 220.7)","(102, 2013, 110.4, 339.3)","(19, 2012, 111.1, 396.9)","(0, -1, 129.8, 247.1)","(8, -1, 79.6, 241.1)","(0, -1, 111.8, 204.0)","(102, -1, 112.2, 414.5)","(19, -1, 126.3, 362.0)"
583,"(104, 2016, 97.5, 296.7)","(102, 2014, 95.4, 235.6)","(102, 2014, 68.0, 329.4)","(104, 2016, 68.0, 217.7)","(4, 2017, 118.7, 346.4)","(104, -1, 112.9, 301.0)","(102, -1, 88.0, 251.8)","(102, -1, 68.9, 378.2)","(104, -1, 70.2, 209.7)","(4, -1, 125.2, 285.4)"
584,"(104, 2013, 119.1, 279.2)","(0, 2012, 171.6, 343.2)","(102, 2015, 66.7, 207.4)","(102, 2012, 105.6, 281.7)","(58, 2013, 147.0, 260.7)","(104, -1, 106.1, 280.7)","(0, -1, 176.1, 299.9)","(102, -1, 71.1, 204.9)","(102, -1, 100.9, 274.6)","(58, -1, 127.0, 271.5)"
585,"(40, 2014, 87.8, 382.5)","(104, 2017, 146.8, 334.6)","(40, 2012, 74.2, 281.7)","(25, 2017, 154.7, 284.8)","(0, 2016, 107.6, 329.7)","(40, -1, 85.7, 365.7)","(104, -1, 135.7, 315.2)","(40, -1, 72.4, 320.5)","(25, -1, 149.0, 309.2)","(0, -1, 115.3, 326.0)"
586,"(4, 2012, 107.7, 254.1)","(104, 2017, 99.2, 200.3)","(0, 2012, 124.2, 213.5)","(19, 2014, 123.6, 270.7)","(102, 2014, 107.8, 220.5)","(4, -1, 112.7, 261.7)","(104, -1, 98.8, 209.8)","(0, -1, 148.7, 202.1)","(19, -1, 106.0, 289.9)","(102, -1, 94.3, 227.4)"
587,"(19, 2015, 84.5, 209.4)","(102, 2014, 115.1, 290.6)","(40, 2014, 98.2, 361.5)","(19, 2012, 112.4, 319.7)","(104, 2014, 115.9, 294.2)","(19, -1, 89.0, 232.4)","(102, -1, 117.3, 287.1)","(40, -1, 100.5, 359.7)","(19, -1, 101.9, 284.5)","(104, -1, 130.0, 317.0)"
588,"(19, 2012, 125.7, 240.3)","(4, 2012, 25.2, 385.2)","(19, 2016, 98.2, 365.6)","(19, 2012, 117.0, 312.9)","(0, 2015, 84.4, 231.2)","(19, -1, 149.4, 261.0)","(4, -1, 27.2, 372.3)","(19, -1, 101.9, 385.2)","(19, -1, 115.7, 322.9)","(0, -1, 85.5, 256.9)"
589,"(102, 2012, 74.1, 396.5)","(8, 2012, 146.7, 263.9)","(0, 2013, 120.0, 224.3)","(58, 2015, 90.7, 398.4)","(58, 2013, 100.4, 333.7)","(102, -1, 65.0, 401.6)","(8, -1, 156.3, 269.6)","(0, -1, 140.9, 248.1)","(58, -1, 96.2, 391.6)","(58, -1, 102.7, 286.3)"
590,"(102, 2016, 30.5, 207.0)","(102, 2012, 112.3, 231.9)","(4, 2015, 113.6, 214.7)","(8, 2015, 91.6, 321.0)","(104, 2016, 85.5, 347.1)","(102, -1, 34.4, 220.2)","(102, -1, 104.3, 217.0)","(4, -1, 109.4, 218.4)","(8, -1, 87.5, 318.8)","(104, -1, 90.8, 359.5)"
591,"(40, 2014, 123.9, 373.6)","(4, 2015, 120.0, 307.6)","(102, 2014, 139.7, 346.0)","(19, 2016, 119.7, 211.0)","(4, 2017, 120.2, 354.6)","(40, -1, 99.8, 370.4)","(4, -1, 110.9, 298.2)","(102, -1, 143.4, 373.5)","(19, -1, 128.9, 204.3)","(4, -1, 115.4, 336.3)"
592,"(58, 2017, 131.8, 294.5)","(104, 2014, 124.4, 320.9)","(8, 2017, 83.3, 307.1)","(102, 2016, 146.2, 311.8)","(104, 2012, 149.2, 383.3)","(58, -1, 136.0, 287.4)","(104, -1, 136.9, 308.4)","(8, -1, 83.7, 314.0)","(102, -1, 122.0, 322.5)","(104, -1, 152.3, 409.9)"
593,"(58, 2012, 96.1, 281.5)","(104, 2012, 117.9, 370.9)","(40, 2013, 112.0, 218.7)","(0, 2015, 79.2, 251.6)","(0, 2016, 97.2, 262.6)","(58, -1, 94.3, 300.3)","(104, -1, 110.2, 373.7)","(40, -1, 104.8, 211.3)","(0, -1, 72.0, 243.6)","(0, -1, 83.1, 259.4)"
594,"(25, 2014, 167.4, 336.4)","(58, 2016, 58.5, 324.7)","(0, 2013, 86.0, 304.9)","(25, 2014, 90.7, 306.6)","(8, 2013, 84.8, 259.9)","(25, -1, 151.6, 382.8)","(58, -1, 67.1, 362.6)","(0, -1, 81.4, 295.1)","(25, -1, 80.0, 336.6)","(8, -1, 75.7, 280.0)"
595,"(8, 2014, 76.2, 385.5)","(25, 2015, 110.4, 225.3)","(102, 2012, 115.7, 310.7)","(4, 2012, 139.4, 300.8)","(58, 2015, 116.0, 378.2)","(8, -1, 78.6, 404.2)","(25, -1, 113.2, 219.9)","(102, -1, 125.0, 343.8)","(4, -1, 134.0, 262.1)","(58, -1, 145.6, 383.4)"
596,"(25, 2017, 101.2, 285.8)","(58, 2015, 134.9, 360.8)","(104, 2017, 153.0, 262.2)","(58, 2012, 70.7, 298.4)","(8, 2016, 119.7, 271.3)","(25, -1, 98.9, 265.6)","(58, -1, 156.1, 387.7)","(104, -1, 134.5, 240.8)","(58, -1, 67.0, 288.3)","(8, -1, 126.8, 262.6)"
597,"(102, 2014, 78.5, 290.4)","(25, 2016, 112.3, 242.1)","(0, 2016, 123.3, 384.4)","(4, 2015, 132.4, 206.4)","(58, 2012, 139.0, 323.1)","(102, -1, 84.8, 278.4)","(25, -1, 122.6, 236.2)","(0, -1, 120.2, 349.2)","(4, -1, 145.4, 218.1)","(58, -1, 135.4, 372.8)"
598,"(25, 2014, 85.2, 344.8)","(0, 2017, 49.0, 368.5)","(0, 2012, 87.0, 390.0)","(8, 2017, 119.0, 269.2)","(102, 2012, 75.3, 399.4)","(25, -1, 76.0, 365.5)","(0, -1, 47.9, 380.0)","(0, -1, 76.3, 394.1)","(8, -1, 94.5, 265.5)","(102, -1, 76.4, 346.3)"
599,"(58, 2012, 136.8, 260.8)","(58, 2015, 101.1, 345.5)","(102, 2012, 116.3, 200.1)","(102, 2012, 128.7, 219.4)","(0, 2017, 130.4, 374.5)","(58, -1, 135.9, 287.5)","(58, -1, 94.9, 286.5)","(102, -1, 90.6, 196.2)","(102, -1, 126.0, 226.8)","(0, -1, 141.7, 398.8)"
600,"(25, 2017, 87.5, 384.6)","(4, 2014, 87.3, 365.1)","(25, 2015, 78.1, 347.2)","(40, 2016, 123.8, 216.4)","(0, 2013, 91.7, 293.2)","(25, -1, 90.5, 342.6)","(4, -1, 85.9, 334.7)","(25, -1, 69.9, 318.0)","(40, -1, 128.5, 227.0)","(0, -1, 94.8, 292.3)"
601,"(58, 2017, 95.3, 369.7)","(25, 2012, 111.1, 219.0)","(25, 2012, 127.3, 205.2)","(4, 2014, 68.2, 289.7)","(102, 2016, 73.5, 385.2)","(58, -1, 95.8, 352.7)","(25, -1, 120.1, 209.5)","(25, -1, 112.4, 205.2)","(4, -1, 67.5, 297.9)","(102, -1, 72.5, 371.2)"
602,"(0, 2013, 104.7, 294.8)","(4, 2014, 125.6, 364.0)","(8, 2013, 67.4, 260.2)","(104, 2014, 137.1, 291.7)","(102, 2014, 92.1, 337.5)","(0, -1, 91.6, 254.9)","(4, -1, 114.6, 394.9)","(8, -1, 61.6, 248.3)","(104, -1, 166.3, 270.6)","(102, -1, 105.1, 311.6)"
603,"(104, 2017, 108.7, 254.3)","(0, 2015, 128.1, 222.5)","(0, 2014, 74.7, 390.3)","(0, 2017, 100.6, 320.6)","(8, 2016, 96.0, 397.5)","(104, -1, 115.0, 270.3)","(0, -1, 130.7, 221.6)","(0, -1, 75.2, 368.1)","(0, -1, 91.7, 354.1)","(8, -1, 102.6, 394.8)"
604,"(58, 2015, 109.6, 302.1)","(104, 2013, 91.0, 325.9)","(19, 2017, 136.1, 371.4)","(102, 2015, 134.0, 390.5)","(19, 2017, 103.1, 330.6)","(58, -1, 107.9, 311.6)","(104, -1, 100.8, 338.5)","(19, -1, 142.2, 374.6)","(102, -1, 107.8, 419.4)","(19, -1, 88.3, 363.3)"
605,"(19, 2013, 23.9, 205.5)","(40, 2013, 130.7, 220.2)","(40, 2013, 110.0, 385.2)","(25, 2014, 85.9, 269.0)","(104, 2017, 108.3, 298.0)","(19, -1, 24.1, 206.9)","(40, -1, 132.5, 262.5)","(40, -1, 111.7, 398.4)","(25, -1, 87.0, 265.4)","(104, -1, 112.9, 315.0)"
606,"(8, 2016, 113.9, 238.5)","(104, 2015, 110.3, 263.1)","(40, 2013, 85.3, 343.4)","(102, 2016, 100.6, 290.4)","(40, 2013, 79.6, 333.5)","(8, -1, 119.6, 222.5)","(104, -1, 122.8, 277.9)","(40, -1, 83.5, 319.7)","(102, -1, 104.3, 326.3)","(40, -1, 84.4, 328.0)"
607,"(25, 2013, 116.5, 236.4)","(25, 2012, 93.0, 224.9)","(102, 2013, 80.2, 344.6)","(104, 2012, 115.2, 235.6)","(104, 2012, 120.1, 254.6)","(25, -1, 125.0, 212.1)","(25, -1, 85.6, 239.9)","(102, -1, 95.8, 376.8)","(104, -1, 119.1, 211.2)","(104, -1, 104.5, 253.6)"
