Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
833,"(0, 2014)","(102, 2015)","(25, 2015)","(8, 2013)","(8, 2016)","(19, 2014)","(102, 2013)","(102, 2014)","(104, 2012)","(8, 2013)","(8, 2017)","(8, 2016)"
834,"(4, 2012)","(104, 2012)","(58, 2017)","(102, 2013)","(4, 2012)","(102, 2017)","(4, 2015)","(102, 2014)","(104, 2015)","(8, 2015)","(4, 2014)","(19, 2017)"
835,"(8, 2017)","(104, 2014)","(102, 2013)","(4, 2013)","(104, 2017)","(4, 2015)","(102, 2013)","(25, 2017)","(8, 2013)","(19, 2013)","(102, 2013)","(104, 2015)"
836,"(104, 2017)","(4, 2017)","(0, 2014)","(40, 2012)","(19, 2014)","(4, 2017)","(40, 2014)","(4, 2016)","(40, 2013)","(0, 2012)","(4, 2014)","(104, 2017)"
837,"(4, 2015)","(19, 2012)","(104, 2016)","(8, 2016)","(19, 2013)","(25, 2015)","(19, 2014)","(0, 2016)","(40, 2015)","(25, 2016)","(102, 2013)","(58, 2017)"
838,"(4, 2015)","(4, 2012)","(0, 2013)","(40, 2015)","(0, 2013)","(8, 2017)","(104, 2013)","(19, 2012)","(102, 2012)","(25, 2013)","(4, 2015)","(58, 2016)"
839,"(19, 2012)","(8, 2017)","(104, 2016)","(25, 2016)","(102, 2014)","(102, 2017)","(58, 2015)","(104, 2013)","(58, 2015)","(40, 2016)","(19, 2016)","(19, 2012)"
840,"(4, 2013)","(19, 2014)","(4, 2017)","(25, 2012)","(0, 2015)","(4, 2012)","(4, 2015)","(40, 2013)","(40, 2016)","(19, 2015)","(0, 2017)","(8, 2014)"
841,"(0, 2012)","(0, 2017)","(40, 2012)","(19, 2014)","(58, 2014)","(0, 2015)","(0, 2012)","(0, 2015)","(102, 2016)","(4, 2016)","(4, 2016)","(19, 2016)"
842,"(104, 2015)","(8, 2017)","(8, 2012)","(102, 2012)","(8, 2015)","(19, 2012)","(4, 2015)","(0, 2017)","(40, 2017)","(8, 2013)","(58, 2017)","(58, 2015)"
843,"(104, 2013)","(102, 2016)","(25, 2013)","(8, 2014)","(102, 2015)","(40, 2016)","(19, 2012)","(8, 2012)","(19, 2012)","(4, 2014)","(40, 2013)","(0, 2014)"
844,"(104, 2012)","(4, 2017)","(19, 2016)","(4, 2016)","(25, 2017)","(40, 2016)","(102, 2012)","(4, 2016)","(58, 2017)","(102, 2017)","(4, 2016)","(102, 2016)"
845,"(25, 2016)","(0, 2014)","(4, 2016)","(0, 2016)","(58, 2014)","(0, 2014)","(102, 2015)","(102, 2014)","(0, 2012)","(104, 2016)","(0, 2013)","(104, 2015)"
846,"(25, 2016)","(0, 2015)","(58, 2013)","(102, 2013)","(4, 2013)","(4, 2017)","(8, 2014)","(19, 2016)","(19, 2012)","(0, 2016)","(102, 2012)","(104, 2015)"
847,"(8, 2015)","(19, 2012)","(4, 2012)","(104, 2012)","(58, 2013)","(58, 2016)","(0, 2015)","(104, 2012)","(4, 2013)","(8, 2013)","(8, 2014)","(104, 2016)"
848,"(25, 2013)","(4, 2012)","(0, 2014)","(40, 2016)","(102, 2014)","(4, 2014)","(25, 2013)","(8, 2014)","(0, 2012)","(19, 2013)","(0, 2013)","(104, 2015)"
849,"(102, 2012)","(19, 2014)","(19, 2016)","(19, 2012)","(4, 2012)","(104, 2017)","(0, 2015)","(19, 2017)","(19, 2015)","(58, 2015)","(0, 2012)","(58, 2012)"
850,"(8, 2016)","(104, 2015)","(104, 2016)","(19, 2013)","(19, 2016)","(102, 2014)","(25, 2012)","(40, 2014)","(102, 2014)","(40, 2014)","(25, 2015)","(25, 2017)"
851,"(58, 2016)","(0, 2016)","(58, 2015)","(40, 2012)","(58, 2012)","(102, 2015)","(19, 2015)","(8, 2017)","(19, 2013)","(0, 2017)","(8, 2014)","(0, 2012)"
852,"(4, 2013)","(4, 2017)","(25, 2016)","(58, 2016)","(104, 2015)","(104, 2015)","(8, 2016)","(25, 2012)","(58, 2017)","(102, 2014)","(4, 2015)","(40, 2014)"
853,"(19, 2017)","(58, 2015)","(19, 2015)","(4, 2013)","(25, 2012)","(8, 2012)","(104, 2014)","(19, 2017)","(0, 2012)","(0, 2016)","(25, 2012)","(40, 2017)"
854,"(40, 2017)","(25, 2016)","(58, 2013)","(58, 2016)","(102, 2017)","(102, 2012)","(104, 2016)","(4, 2017)","(58, 2016)","(58, 2012)","(25, 2016)","(19, 2014)"
855,"(40, 2013)","(4, 2016)","(40, 2014)","(102, 2016)","(19, 2014)","(40, 2016)","(4, 2015)","(25, 2013)","(102, 2017)","(25, 2014)","(102, 2013)","(8, 2014)"
856,"(104, 2012)","(8, 2015)","(104, 2017)","(104, 2015)","(58, 2012)","(0, 2014)","(19, 2016)","(102, 2016)","(0, 2012)","(25, 2017)","(0, 2016)","(40, 2017)"
857,"(19, 2015)","(40, 2013)","(8, 2013)","(40, 2016)","(104, 2012)","(58, 2013)","(8, 2013)","(25, 2017)","(0, 2016)","(19, 2015)","(58, 2015)","(4, 2015)"
858,"(25, 2013)","(4, 2015)","(40, 2015)","(102, 2015)","(19, 2012)","(40, 2013)","(58, 2015)","(8, 2012)","(4, 2013)","(4, 2013)","(104, 2015)","(102, 2013)"
859,"(19, 2012)","(8, 2014)","(58, 2013)","(19, 2012)","(0, 2012)","(102, 2017)","(58, 2017)","(19, 2014)","(8, 2012)","(58, 2017)","(4, 2015)","(40, 2012)"
860,"(58, 2016)","(104, 2015)","(19, 2013)","(25, 2017)","(58, 2017)","(25, 2014)","(0, 2013)","(8, 2012)","(102, 2013)","(25, 2017)","(102, 2017)","(19, 2015)"
861,"(25, 2014)","(19, 2012)","(58, 2013)","(25, 2014)","(4, 2014)","(104, 2017)","(102, 2015)","(0, 2015)","(19, 2015)","(4, 2014)","(40, 2014)","(4, 2014)"
862,"(104, 2013)","(25, 2013)","(4, 2017)","(40, 2016)","(19, 2013)","(58, 2017)","(58, 2017)","(19, 2013)","(25, 2015)","(40, 2013)","(104, 2013)","(8, 2012)"
863,"(19, 2017)","(19, 2015)","(40, 2014)","(8, 2017)","(58, 2016)","(8, 2017)","(102, 2012)","(4, 2013)","(25, 2016)","(8, 2012)","(8, 2016)","(58, 2013)"
864,"(40, 2013)","(8, 2017)","(4, 2016)","(19, 2015)","(102, 2012)","(40, 2014)","(0, 2015)","(104, 2014)","(102, 2016)","(8, 2017)","(25, 2013)","(25, 2012)"
865,"(102, 2017)","(102, 2016)","(58, 2014)","(102, 2016)","(8, 2015)","(58, 2017)","(19, 2016)","(40, 2015)","(25, 2014)","(0, 2015)","(8, 2017)","(8, 2015)"
866,"(19, 2016)","(25, 2012)","(8, 2012)","(58, 2013)","(102, 2016)","(19, 2014)","(19, 2017)","(58, 2015)","(58, 2014)","(58, 2013)","(8, 2015)","(19, 2017)"
867,"(0, 2015)","(0, 2016)","(25, 2017)","(58, 2012)","(25, 2015)","(104, 2012)","(40, 2016)","(19, 2014)","(19, 2014)","(25, 2016)","(25, 2013)","(8, 2015)"
868,"(40, 2017)","(102, 2017)","(0, 2016)","(102, 2015)","(19, 2014)","(40, 2014)","(25, 2012)","(25, 2015)","(25, 2014)","(102, 2016)","(0, 2014)","(58, 2017)"
869,"(58, 2015)","(0, 2014)","(19, 2014)","(0, 2013)","(8, 2013)","(0, 2015)","(40, 2017)","(102, 2017)","(4, 2013)","(0, 2015)","(40, 2013)","(58, 2012)"
870,"(19, 2017)","(104, 2013)","(8, 2017)","(102, 2013)","(8, 2017)","(19, 2017)","(58, 2013)","(102, 2016)","(25, 2017)","(8, 2014)","(0, 2015)","(4, 2012)"
871,"(58, 2015)","(102, 2016)","(4, 2016)","(19, 2015)","(19, 2017)","(58, 2016)","(102, 2017)","(4, 2012)","(0, 2017)","(8, 2013)","(4, 2016)","(8, 2014)"
872,"(102, 2015)","(25, 2012)","(104, 2012)","(58, 2017)","(40, 2014)","(8, 2013)","(8, 2014)","(4, 2017)","(19, 2015)","(0, 2012)","(8, 2017)","(25, 2016)"
873,"(4, 2013)","(19, 2013)","(104, 2014)","(0, 2013)","(104, 2015)","(40, 2015)","(0, 2012)","(58, 2013)","(4, 2017)","(40, 2013)","(102, 2013)","(104, 2016)"
874,"(58, 2014)","(0, 2014)","(58, 2017)","(8, 2012)","(19, 2014)","(40, 2015)","(4, 2016)","(8, 2012)","(102, 2012)","(104, 2015)","(40, 2013)","(102, 2017)"
875,"(0, 2017)","(0, 2017)","(40, 2016)","(102, 2017)","(19, 2016)","(58, 2017)","(40, 2013)","(40, 2014)","(40, 2012)","(104, 2016)","(102, 2016)","(8, 2012)"
876,"(58, 2012)","(19, 2012)","(0, 2014)","(8, 2014)","(104, 2014)","(104, 2013)","(104, 2013)","(58, 2014)","(4, 2014)","(4, 2015)","(104, 2014)","(58, 2017)"
877,"(25, 2014)","(58, 2012)","(104, 2012)","(104, 2013)","(58, 2012)","(40, 2013)","(104, 2016)","(19, 2014)","(25, 2015)","(8, 2014)","(19, 2012)","(8, 2015)"
878,"(25, 2014)","(102, 2012)","(25, 2015)","(40, 2017)","(0, 2013)","(58, 2012)","(25, 2016)","(8, 2013)","(104, 2016)","(19, 2017)","(4, 2014)","(0, 2014)"
879,"(104, 2012)","(102, 2017)","(4, 2012)","(25, 2017)","(8, 2013)","(4, 2015)","(104, 2012)","(40, 2015)","(25, 2012)","(0, 2015)","(102, 2016)","(19, 2016)"
880,"(0, 2015)","(0, 2016)","(19, 2013)","(0, 2015)","(25, 2012)","(25, 2015)","(8, 2017)","(19, 2013)","(8, 2013)","(4, 2017)","(4, 2013)","(25, 2012)"
881,"(102, 2014)","(4, 2012)","(0, 2015)","(102, 2015)","(104, 2015)","(25, 2015)","(104, 2012)","(58, 2015)","(8, 2013)","(58, 2014)","(8, 2013)","(8, 2016)"
882,"(8, 2012)","(40, 2017)","(102, 2016)","(104, 2013)","(104, 2012)","(40, 2016)","(25, 2015)","(4, 2017)","(58, 2015)","(19, 2017)","(40, 2014)","(19, 2014)"
883,"(4, 2017)","(19, 2015)","(0, 2012)","(0, 2016)","(4, 2014)","(102, 2013)","(19, 2015)","(58, 2017)","(102, 2017)","(58, 2017)","(0, 2014)","(40, 2015)"
884,"(0, 2016)","(8, 2016)","(25, 2012)","(4, 2016)","(58, 2017)","(4, 2016)","(104, 2017)","(58, 2017)","(8, 2013)","(25, 2016)","(0, 2016)","(25, 2016)"
885,"(58, 2014)","(58, 2017)","(58, 2014)","(58, 2014)","(0, 2015)","(104, 2013)","(40, 2012)","(25, 2016)","(40, 2017)","(25, 2015)","(4, 2016)","(40, 2012)"
886,"(19, 2013)","(8, 2013)","(58, 2015)","(25, 2017)","(58, 2015)","(0, 2015)","(8, 2016)","(58, 2014)","(19, 2017)","(104, 2016)","(104, 2016)","(102, 2015)"
887,"(104, 2012)","(8, 2017)","(4, 2015)","(19, 2014)","(8, 2014)","(104, 2013)","(40, 2017)","(4, 2017)","(40, 2015)","(58, 2012)","(4, 2014)","(102, 2015)"
888,"(102, 2015)","(0, 2014)","(4, 2012)","(4, 2016)","(102, 2015)","(102, 2016)","(40, 2012)","(40, 2013)","(40, 2015)","(102, 2016)","(8, 2012)","(102, 2013)"
889,"(104, 2016)","(102, 2016)","(4, 2013)","(25, 2016)","(58, 2013)","(104, 2017)","(40, 2015)","(19, 2016)","(4, 2014)","(40, 2017)","(8, 2017)","(19, 2016)"
890,"(102, 2012)","(8, 2013)","(8, 2013)","(4, 2012)","(58, 2013)","(0, 2017)","(19, 2016)","(102, 2014)","(19, 2016)","(58, 2016)","(104, 2016)","(40, 2012)"
891,"(19, 2017)","(25, 2012)","(40, 2014)","(4, 2016)","(104, 2012)","(102, 2015)","(104, 2016)","(25, 2015)","(4, 2015)","(40, 2016)","(58, 2013)","(40, 2013)"
892,"(0, 2012)","(4, 2012)","(4, 2013)","(40, 2016)","(4, 2015)","(40, 2014)","(4, 2012)","(19, 2017)","(25, 2013)","(4, 2013)","(19, 2012)","(0, 2013)"
893,"(8, 2017)","(8, 2012)","(58, 2012)","(102, 2015)","(58, 2014)","(58, 2015)","(40, 2014)","(19, 2012)","(8, 2012)","(4, 2017)","(0, 2017)","(40, 2016)"
894,"(102, 2016)","(4, 2015)","(58, 2015)","(4, 2014)","(8, 2012)","(104, 2013)","(102, 2015)","(102, 2013)","(8, 2016)","(104, 2014)","(0, 2014)","(25, 2015)"
895,"(40, 2013)","(102, 2016)","(8, 2013)","(104, 2016)","(0, 2015)","(102, 2015)","(104, 2016)","(19, 2015)","(102, 2016)","(40, 2017)","(8, 2016)","(25, 2015)"
896,"(102, 2013)","(0, 2014)","(25, 2014)","(19, 2015)","(0, 2014)","(19, 2014)","(102, 2016)","(4, 2015)","(58, 2012)","(102, 2013)","(19, 2015)","(4, 2016)"
897,"(25, 2017)","(40, 2013)","(58, 2014)","(8, 2016)","(25, 2012)","(19, 2013)","(0, 2012)","(8, 2016)","(4, 2016)","(19, 2015)","(40, 2015)","(4, 2015)"
898,"(4, 2012)","(25, 2012)","(8, 2014)","(58, 2014)","(19, 2014)","(102, 2017)","(19, 2017)","(58, 2013)","(104, 2014)","(58, 2017)","(58, 2014)","(8, 2016)"
899,"(0, 2016)","(4, 2014)","(8, 2013)","(104, 2012)","(8, 2016)","(19, 2014)","(0, 2012)","(19, 2015)","(104, 2015)","(4, 2013)","(19, 2012)","(58, 2014)"
900,"(0, 2014)","(8, 2014)","(0, 2017)","(25, 2014)","(25, 2014)","(19, 2013)","(40, 2014)","(19, 2015)","(19, 2012)","(8, 2013)","(0, 2015)","(40, 2017)"
901,"(4, 2016)","(19, 2013)","(102, 2015)","(8, 2017)","(19, 2016)","(58, 2017)","(40, 2012)","(8, 2014)","(0, 2017)","(19, 2012)","(40, 2016)","(8, 2015)"
902,"(40, 2012)","(0, 2012)","(40, 2014)","(0, 2015)","(104, 2013)","(19, 2016)","(104, 2013)","(25, 2015)","(58, 2017)","(40, 2016)","(0, 2013)","(104, 2015)"
903,"(8, 2014)","(4, 2013)","(104, 2012)","(104, 2013)","(58, 2014)","(40, 2013)","(8, 2012)","(25, 2013)","(104, 2014)","(8, 2017)","(25, 2016)","(58, 2017)"
904,"(40, 2017)","(19, 2015)","(25, 2015)","(58, 2012)","(0, 2016)","(104, 2013)","(19, 2017)","(104, 2017)","(58, 2013)","(4, 2016)","(4, 2013)","(104, 2012)"
905,"(4, 2016)","(4, 2017)","(104, 2014)","(19, 2013)","(58, 2012)","(104, 2016)","(104, 2012)","(40, 2017)","(8, 2014)","(4, 2014)","(4, 2016)","(0, 2014)"
906,"(40, 2012)","(102, 2016)","(4, 2014)","(102, 2013)","(25, 2014)","(104, 2012)","(104, 2013)","(8, 2016)","(104, 2015)","(102, 2013)","(8, 2017)","(8, 2012)"
907,"(25, 2013)","(19, 2017)","(104, 2012)","(40, 2014)","(8, 2013)","(102, 2017)","(8, 2013)","(25, 2014)","(58, 2012)","(25, 2017)","(40, 2013)","(0, 2012)"
908,"(58, 2014)","(8, 2012)","(104, 2015)","(102, 2016)","(58, 2012)","(4, 2014)","(40, 2012)","(104, 2016)","(8, 2015)","(104, 2014)","(0, 2013)","(8, 2013)"
909,"(102, 2012)","(104, 2013)","(19, 2014)","(40, 2017)","(8, 2015)","(104, 2013)","(40, 2014)","(58, 2015)","(102, 2017)","(25, 2013)","(102, 2013)","(58, 2016)"
910,"(8, 2017)","(8, 2012)","(102, 2014)","(0, 2012)","(104, 2013)","(0, 2015)","(0, 2015)","(102, 2012)","(8, 2015)","(102, 2015)","(4, 2015)","(104, 2014)"
911,"(40, 2016)","(0, 2016)","(8, 2015)","(58, 2012)","(0, 2016)","(102, 2017)","(19, 2014)","(102, 2013)","(40, 2015)","(19, 2017)","(4, 2015)","(19, 2014)"
912,"(104, 2012)","(40, 2014)","(102, 2012)","(0, 2015)","(19, 2013)","(19, 2015)","(8, 2012)","(40, 2012)","(19, 2015)","(8, 2013)","(25, 2015)","(40, 2015)"
913,"(104, 2015)","(40, 2013)","(0, 2013)","(104, 2017)","(4, 2017)","(102, 2015)","(19, 2017)","(104, 2012)","(4, 2017)","(25, 2015)","(40, 2017)","(4, 2014)"
914,"(0, 2015)","(102, 2015)","(102, 2013)","(25, 2013)","(58, 2017)","(19, 2016)","(25, 2013)","(8, 2015)","(8, 2017)","(40, 2017)","(25, 2013)","(8, 2017)"
915,"(102, 2012)","(58, 2013)","(8, 2014)","(104, 2014)","(8, 2015)","(0, 2015)","(25, 2015)","(40, 2012)","(102, 2015)","(8, 2012)","(8, 2012)","(8, 2016)"
916,"(4, 2016)","(58, 2012)","(19, 2015)","(8, 2014)","(0, 2014)","(19, 2016)","(19, 2017)","(104, 2013)","(19, 2015)","(8, 2012)","(19, 2015)","(102, 2016)"
917,"(25, 2014)","(19, 2013)","(102, 2015)","(58, 2013)","(4, 2017)","(104, 2017)","(104, 2013)","(102, 2017)","(40, 2017)","(19, 2016)","(0, 2016)","(102, 2014)"
918,"(19, 2012)","(58, 2015)","(19, 2017)","(0, 2014)","(40, 2012)","(25, 2016)","(0, 2014)","(19, 2012)","(4, 2014)","(104, 2017)","(0, 2012)","(40, 2016)"
919,"(58, 2015)","(102, 2012)","(8, 2014)","(58, 2012)","(102, 2012)","(4, 2017)","(8, 2012)","(104, 2016)","(19, 2017)","(25, 2016)","(8, 2017)","(58, 2016)"
920,"(8, 2017)","(25, 2013)","(25, 2014)","(4, 2014)","(58, 2017)","(58, 2016)","(104, 2012)","(40, 2013)","(25, 2014)","(8, 2012)","(4, 2016)","(8, 2015)"
921,"(0, 2014)","(102, 2017)","(19, 2015)","(0, 2015)","(40, 2013)","(4, 2016)","(58, 2016)","(8, 2012)","(0, 2012)","(58, 2014)","(8, 2017)","(8, 2017)"
922,"(40, 2016)","(19, 2012)","(19, 2013)","(25, 2014)","(40, 2016)","(0, 2016)","(40, 2012)","(19, 2012)","(104, 2015)","(40, 2015)","(8, 2014)","(8, 2014)"
923,"(40, 2017)","(104, 2016)","(40, 2016)","(8, 2015)","(19, 2017)","(19, 2012)","(8, 2013)","(0, 2016)","(8, 2012)","(4, 2012)","(25, 2012)","(40, 2014)"
924,"(40, 2016)","(25, 2012)","(25, 2013)","(8, 2016)","(0, 2014)","(25, 2013)","(102, 2016)","(40, 2015)","(104, 2016)","(4, 2017)","(4, 2017)","(58, 2014)"
925,"(40, 2013)","(58, 2017)","(0, 2014)","(104, 2017)","(102, 2016)","(8, 2017)","(0, 2014)","(40, 2013)","(8, 2016)","(25, 2014)","(19, 2014)","(40, 2013)"
926,"(8, 2017)","(25, 2014)","(104, 2013)","(0, 2017)","(19, 2013)","(25, 2014)","(104, 2017)","(8, 2014)","(4, 2017)","(19, 2014)","(102, 2014)","(0, 2016)"
927,"(8, 2015)","(40, 2013)","(25, 2012)","(102, 2016)","(40, 2015)","(104, 2014)","(4, 2015)","(25, 2015)","(0, 2016)","(8, 2016)","(58, 2015)","(8, 2016)"
928,"(102, 2015)","(4, 2016)","(58, 2013)","(40, 2017)","(25, 2012)","(19, 2013)","(104, 2014)","(104, 2016)","(25, 2014)","(8, 2014)","(8, 2012)","(104, 2014)"
929,"(102, 2013)","(19, 2015)","(40, 2017)","(19, 2013)","(40, 2012)","(25, 2017)","(104, 2016)","(102, 2014)","(8, 2016)","(0, 2014)","(0, 2017)","(58, 2014)"
930,"(19, 2017)","(40, 2017)","(102, 2013)","(4, 2016)","(104, 2015)","(102, 2013)","(19, 2016)","(0, 2013)","(19, 2013)","(25, 2015)","(4, 2015)","(58, 2017)"
931,"(0, 2012)","(0, 2012)","(102, 2015)","(4, 2017)","(104, 2017)","(102, 2014)","(8, 2012)","(4, 2015)","(25, 2012)","(4, 2017)","(25, 2016)","(25, 2013)"
932,"(102, 2015)","(4, 2017)","(102, 2012)","(25, 2015)","(0, 2014)","(104, 2014)","(102, 2013)","(19, 2013)","(25, 2015)","(25, 2014)","(19, 2016)","(0, 2017)"
933,"(102, 2013)","(102, 2017)","(58, 2016)","(8, 2012)","(8, 2013)","(58, 2017)","(8, 2017)","(25, 2016)","(19, 2016)","(25, 2016)","(0, 2012)","(19, 2016)"
934,"(4, 2017)","(104, 2017)","(4, 2013)","(0, 2015)","(102, 2013)","(8, 2017)","(104, 2014)","(40, 2014)","(8, 2012)","(4, 2016)","(0, 2015)","(19, 2015)"
935,"(0, 2017)","(58, 2015)","(19, 2014)","(25, 2015)","(104, 2016)","(104, 2015)","(102, 2015)","(104, 2017)","(19, 2017)","(19, 2015)","(25, 2012)","(102, 2012)"
936,"(4, 2014)","(40, 2012)","(4, 2014)","(102, 2015)","(40, 2012)","(4, 2013)","(8, 2014)","(0, 2012)","(8, 2013)","(104, 2017)","(104, 2014)","(102, 2015)"
937,"(40, 2013)","(19, 2013)","(4, 2012)","(8, 2014)","(4, 2013)","(0, 2012)","(40, 2014)","(104, 2017)","(25, 2012)","(40, 2017)","(4, 2014)","(40, 2015)"
938,"(40, 2015)","(4, 2017)","(102, 2017)","(58, 2017)","(40, 2017)","(0, 2013)","(102, 2014)","(8, 2012)","(8, 2014)","(58, 2016)","(4, 2016)","(0, 2012)"
939,"(102, 2012)","(25, 2014)","(0, 2012)","(40, 2015)","(8, 2014)","(19, 2017)","(40, 2012)","(40, 2012)","(104, 2014)","(19, 2017)","(4, 2013)","(25, 2017)"
940,"(4, 2014)","(58, 2017)","(0, 2015)","(102, 2015)","(8, 2013)","(0, 2013)","(104, 2017)","(102, 2014)","(4, 2017)","(104, 2013)","(4, 2012)","(25, 2015)"
941,"(0, 2015)","(40, 2013)","(58, 2015)","(40, 2013)","(104, 2014)","(19, 2015)","(104, 2016)","(25, 2013)","(58, 2016)","(8, 2013)","(4, 2015)","(8, 2013)"
942,"(8, 2015)","(25, 2014)","(40, 2015)","(104, 2017)","(104, 2012)","(19, 2013)","(4, 2015)","(19, 2014)","(8, 2014)","(0, 2017)","(19, 2012)","(25, 2015)"
943,"(104, 2014)","(0, 2012)","(58, 2014)","(40, 2014)","(0, 2016)","(40, 2015)","(4, 2015)","(102, 2013)","(0, 2013)","(58, 2015)","(104, 2013)","(0, 2015)"
944,"(8, 2015)","(102, 2012)","(0, 2015)","(4, 2015)","(104, 2016)","(58, 2012)","(104, 2015)","(40, 2015)","(4, 2014)","(0, 2015)","(8, 2017)","(8, 2017)"
945,"(102, 2012)","(104, 2014)","(40, 2016)","(58, 2017)","(104, 2015)","(104, 2017)","(40, 2012)","(19, 2013)","(40, 2014)","(25, 2012)","(40, 2015)","(40, 2013)"
946,"(40, 2012)","(40, 2013)","(58, 2014)","(25, 2015)","(104, 2016)","(104, 2014)","(40, 2013)","(102, 2014)","(104, 2016)","(40, 2013)","(4, 2015)","(19, 2015)"
947,"(40, 2016)","(19, 2013)","(58, 2012)","(58, 2013)","(0, 2017)","(104, 2014)","(102, 2016)","(25, 2013)","(19, 2015)","(4, 2012)","(0, 2014)","(0, 2012)"
948,"(104, 2012)","(58, 2014)","(104, 2015)","(58, 2015)","(0, 2014)","(58, 2015)","(58, 2013)","(8, 2014)","(40, 2014)","(104, 2016)","(58, 2017)","(8, 2012)"
949,"(0, 2017)","(104, 2012)","(40, 2013)","(25, 2012)","(25, 2012)","(4, 2016)","(40, 2013)","(4, 2015)","(19, 2016)","(40, 2017)","(58, 2016)","(104, 2016)"
950,"(40, 2017)","(40, 2016)","(40, 2013)","(102, 2017)","(0, 2016)","(40, 2013)","(58, 2016)","(102, 2014)","(102, 2017)","(102, 2016)","(102, 2014)","(104, 2012)"
951,"(4, 2017)","(58, 2017)","(0, 2015)","(4, 2017)","(104, 2015)","(25, 2014)","(19, 2013)","(0, 2014)","(104, 2015)","(4, 2017)","(102, 2016)","(4, 2013)"
952,"(58, 2017)","(58, 2014)","(0, 2017)","(4, 2015)","(19, 2013)","(8, 2013)","(19, 2012)","(0, 2013)","(0, 2017)","(8, 2015)","(19, 2014)","(4, 2016)"
953,"(25, 2017)","(0, 2013)","(4, 2016)","(19, 2015)","(4, 2013)","(40, 2013)","(8, 2012)","(19, 2017)","(8, 2014)","(102, 2015)","(4, 2014)","(104, 2013)"
954,"(0, 2014)","(8, 2016)","(19, 2014)","(0, 2016)","(4, 2015)","(58, 2016)","(58, 2017)","(4, 2015)","(4, 2017)","(102, 2015)","(4, 2016)","(0, 2017)"
955,"(58, 2013)","(25, 2016)","(0, 2013)","(19, 2013)","(8, 2012)","(40, 2014)","(8, 2017)","(102, 2015)","(19, 2013)","(58, 2012)","(4, 2016)","(0, 2014)"
956,"(8, 2015)","(58, 2014)","(25, 2015)","(19, 2014)","(102, 2017)","(19, 2017)","(102, 2014)","(19, 2013)","(19, 2015)","(40, 2015)","(4, 2013)","(40, 2017)"
957,"(0, 2014)","(8, 2013)","(58, 2014)","(0, 2015)","(40, 2013)","(4, 2014)","(8, 2012)","(0, 2013)","(58, 2015)","(19, 2015)","(102, 2013)","(25, 2017)"
958,"(102, 2013)","(8, 2012)","(104, 2014)","(25, 2017)","(25, 2015)","(0, 2016)","(0, 2012)","(4, 2017)","(19, 2016)","(8, 2017)","(104, 2012)","(25, 2015)"
959,"(4, 2017)","(58, 2014)","(104, 2016)","(104, 2016)","(8, 2015)","(104, 2016)","(19, 2012)","(0, 2012)","(104, 2012)","(25, 2014)","(0, 2017)","(0, 2015)"
960,"(25, 2015)","(58, 2014)","(8, 2017)","(58, 2016)","(19, 2013)","(0, 2017)","(4, 2014)","(104, 2014)","(40, 2015)","(40, 2015)","(104, 2016)","(19, 2013)"
961,"(104, 2014)","(104, 2014)","(25, 2013)","(8, 2012)","(25, 2013)","(8, 2017)","(0, 2016)","(19, 2012)","(40, 2013)","(40, 2017)","(8, 2015)","(102, 2016)"
962,"(0, 2016)","(8, 2017)","(4, 2017)","(25, 2014)","(0, 2016)","(8, 2014)","(0, 2013)","(19, 2016)","(102, 2016)","(8, 2012)","(25, 2017)","(19, 2017)"
963,"(40, 2017)","(102, 2016)","(58, 2014)","(25, 2014)","(104, 2017)","(25, 2017)","(58, 2016)","(0, 2012)","(104, 2014)","(25, 2015)","(104, 2013)","(102, 2014)"
964,"(8, 2017)","(25, 2013)","(104, 2012)","(19, 2015)","(19, 2015)","(0, 2016)","(40, 2013)","(102, 2015)","(4, 2015)","(58, 2017)","(40, 2013)","(0, 2016)"
965,"(25, 2017)","(19, 2013)","(4, 2017)","(8, 2013)","(19, 2014)","(8, 2016)","(8, 2014)","(25, 2016)","(25, 2017)","(40, 2015)","(102, 2012)","(4, 2014)"
966,"(40, 2013)","(104, 2012)","(25, 2013)","(8, 2017)","(102, 2014)","(4, 2017)","(58, 2017)","(25, 2014)","(102, 2014)","(0, 2016)","(25, 2017)","(25, 2016)"
967,"(58, 2017)","(19, 2012)","(25, 2013)","(19, 2012)","(19, 2014)","(102, 2017)","(58, 2015)","(40, 2016)","(8, 2012)","(8, 2016)","(4, 2014)","(104, 2014)"
968,"(0, 2017)","(25, 2013)","(19, 2017)","(40, 2013)","(4, 2013)","(102, 2015)","(19, 2013)","(58, 2012)","(4, 2016)","(8, 2013)","(104, 2012)","(4, 2013)"
969,"(4, 2013)","(8, 2014)","(0, 2012)","(0, 2012)","(40, 2012)","(0, 2017)","(40, 2015)","(0, 2012)","(4, 2017)","(25, 2015)","(40, 2013)","(19, 2017)"
970,"(58, 2017)","(102, 2012)","(8, 2013)","(4, 2017)","(102, 2012)","(0, 2013)","(4, 2014)","(25, 2015)","(102, 2016)","(19, 2014)","(19, 2016)","(40, 2017)"
971,"(40, 2014)","(58, 2017)","(104, 2012)","(4, 2016)","(19, 2013)","(25, 2014)","(4, 2014)","(102, 2016)","(40, 2012)","(102, 2016)","(40, 2013)","(8, 2017)"
